elo,moves,opening,termination
1907,e4 e5 Nc3 Nf6 d3 c6 f4 exf4 Bxf4 d5 e5 d4 Nce2 Nd5 Bd2 c5 c4 Ne3 Bxe3 dxe3 Nf3 Be7 Nc3 Bg4 Be2 O-O O-O Nc6 Nd5 Nd4 Nxd4 cxd4 Bxg4 Bc5 e6 fxe6 Bxe6+ Kh8 Rxf8+ Qxf8 Qf3 Qd6 Bf5 Rf8 Qe4 g6 Bg4 a5 Bf3 Ba7 a3 Bb8 g3 Ba7 b4 h5 c5 Qd7 Qxg6 Qh7 Qxh7+ Kxh7 Bxh5 Bb8 Rf1 Rd8 Nf6+ Kh6 g4 Kg5 Kg2 axb4 axb4 Rc8 Ne4+ Kh6 Rf6+ Kg7 g5 Be5 Rf7+ Kg8 Rxb7 Rf8 Bf3 Ra8 Ng3 Ra2+ Ne2 Bf4 h4 Kf8 b5 Rd2 c6 Rxd3 b6 1-0,Vienna Game: Falkbeer Variation,Time forfeit
1487,d4 d5 h3 e6 a3 Nf6 Nf3 b6 e3 c5 c4 cxd4 Qxd4 Nc6 Qd1 Be7 cxd5 Nxd5 Bb5 Bb7 Bxc6+ Bxc6 e4 Nf6 Qxd8+ Rxd8 Nc3 O-O e5 Bxf3 gxf3 Nd5 Nxd5 Rxd5 f4 f6 Be3 fxe5 fxe5 Rxe5 O-O-O Bf6 Kb1 Rb5 Rd2 Rd8 Rhd1 Rf8 Ka2 a5 Rd6 e5 b4 axb4 axb4 Ra8+ Kb3 Be7 Rxb6 Rxb6 Bxb6 Rb8 Ba5 Rb5 Ka4 Rb7 Re1 Bd6 Rd1 Rd7 Rc1 Kf7 Rg1 g6 h4 Ke6 Rg5 Rf7 Bb6 Rf4 h5 Kf6 Rg2 gxh5 Ba5 Rg4 Rh2 h4 f3 Rf4 Rh3 Kf5 Kb5 e4 fxe4+ Kxe4 Kc6 Be5 b5 Rf6+ Kd7 Rd6+ Ke7 Rd5 Rxh4+ Kf3 Rb4 Bd6+ Ke6 Bxb4 Kxd5 Bxa5 Kc6 h5 Kb7 h4 Ka6 Bd8 b6 Bxb6 Kxb6 h3 0-1,Queen's Pawn Game,Normal
1256,d4 d5 c4 c5 e3 e6 cxd5 cxd4 dxe6 dxe3 Qxd8+ Kxd8 exf7 exf2+ Kxf2 Nf6 Bg5 Be6 Nf3 Bxf7 Nc3 Be7 Be2 Nc6 Rhd1+ Kc7 Bf4+ Kc8 Bb5 Bc5+ Kf1 Nb4 a3 Nc2 Rac1 Ne3+ Bxe3 Bxe3 Rc2 a6 Re2 axb5 Rxe3 Bc4+ Kg1 Re8 Rxe8+ Nxe8 Ne5 h6 Nxc4 bxc4 Rd4 b5 Nxb5 Kb7 Nd6+ Kb6 Nxc4+ Kc5 0-1,Queen's Gambit Refused: Austrian Defense,Normal
1542,e4 e5 Bc4 Qf6 d3 Bc5 Qf3 d6 Nc3 c6 Bg5 Qxf3 Nxf3 h6 Bh4 g5 Bg3 Nf6 h4 g4 Nd2 h5 f3 Nbd7 fxg4 Nxg4 Rf1 Ndf6 Nf3 Be6 Ng5 Bxc4 dxc4 O-O-O Bf2 Nxf2 Rxf2 Bxf2+ Kxf2 Ng4+ Kg1 Rdf8 Rf1 f6 Ne6 Kd7 Nxf8+ Rxf8 Rf5 Ke6 Rxh5 Ne3 Rh7 Nxc4 b3 Ne3 Rxb7 Nxc2 Rxa7 Rh8 g3 Rg8 Kh2 Ne3 Ra6 c5 Nb5 Rd8 h5 Ng4+ Kh3 f5 exf5+ Kxf5 Rxd6 Rxd6 Nxd6+ Kg5 a4 Nf6 a5 Nd7 Ne4+ Kxh5 a6 Kg6 a7 Nb6 Nxc5 Kf5 Nd7 e4 Nxb6 e3 a8=Q e2 Qf3+ 1-0,Bishop's Opening,Normal
1649,e4 c6 Bc4 d5 exd5 cxd5 Bb3 Nf6 c3 Nc6 d3 e5 h3 Bd6 Ne2 Be6 O-O O-O f4 e4 dxe4 Nxe4 Nd4 Kh8 f5 Nxd4 cxd4 Bd7 Bxd5 Bc6 Bxc6 bxc6 Nc3 Nxc3 bxc3 c5 d5 c4 Be3 Re8 Bd4 Be5 Bxe5 Rxe5 Qd4 Qb6 Qxb6 axb6 d6 Rd5 Rf4 b5 Rd4 Rxd4 cxd4 Rd8 Rb1 g6 Rxb5 Rxd6 fxg6 fxg6 Rc5 Rxd4 a4 c3 a5 Ra4 Rxc3 Rxa5 g4 Ra2 Rc7 h5 Rc6 Kg7 gxh5 gxh5 Rc4 Kg6 h4 Kf5 Rc5+ Kg4 Rc4+ Kg3 Re4 Ra1+ Re1 Rxe1# 0-1,Caro-Kann Defense: Hillbilly Attack,Normal
1531,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 d3 Bd6 O-O O-O Nbd2 b5 Qe2 a5 h3 Bd7 a4 b4 b3 c5 Nc4 Be7 Ncxe5 Be6 Bb2 Qc8 Rad1 h6 Kh2 Re8 Ng1 Nh7 f4 f6 Nef3 Bf7 f5 Bd6+ Kh1 c6 Bc1 Bc7 Qf2 Bh5 g4 Bf7 Nh4 Ng5 Bf4 Bxf4 Qxf4 Re7 Ng2 Qc7 Qxc7 Rxc7 h4 Nh7 Kh2 Re8 Kg3 Rd7 Nf4 Nf8 Nf3 Red8 g5 hxg5 hxg5 fxg5 Nxg5 Be8 Rh1 g6 Rh6 Kg7 Rdh1 Kf6 Nf3 Rg7 Kg4 Ke7 e5 Kd7 f6 Rf7 e6+ Kc7 exf7 Bxf7 Rh7 Rd7 Rxf7 Rxf7 Kg5 Kd6 Ne6 1-0,Ruy Lopez: Berlin Defense #2,Time forfeit
1527,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb3 a6 Nc3 b5 Nd5 Bb4+ c3 Bf8 Be3 Nf6 h3 Nxe4 Bd3 f5 Bxe4 fxe4 O-O Be7 Bc5 Bxc5 Nxc5 d6 Nxe4 Be6 Ne3 O-O Qxd6 Qxd6 Nxd6 e4 a3 Ne5 Nxe4 Nd3 Rad1 Nxb2 Rd2 Nc4 Nxc4 Bxc4 Nd6 Bxf1 Kxf1 Rad8 Ne4 Rxd2 Nxd2 Rc8 c4 bxc4 Ne4 c3 Nd6 c2 Ne4 c1=Q+ Ke2 Rc2+ Kf3 0-1,Sicilian Defense: Loewenthal Variation,Normal
1257,d4 b6 e4 Bb7 Ba6 g6 Bxb7 Na6 Bxa8 Qxa8 Nc3 c6 Qe2 b5 Nf3 Qb7 O-O b4 Nd1 c5 dxc5 Nxc5 c3 Qxe4 Qxe4 Nxe4 Ne3 bxc3 bxc3 Nxc3 Bb2 Ne2+ Kh1 f5 Rfe1 Nf4 g3 Nh5 Ng5 Bh6 f4 Bxg5 fxg5 h6 Nd5 hxg5 Bxh8 Kf7 Bb2 e6 Nc3 Ngf6 Rad1 Ne4 Nxe4 fxe4 Rxd7+ Ke8 Rxa7 Nxg3+ hxg3 g4 Rc1 g5 Rc8# 1-0,English Defense #2,Normal
1466,f4 b6 c3 Bb7 d4 g6 e4 Bg7 e5 f6 Nf3 fxe5 fxe5 Nh6 Bc4 e6 O-O O-O Ng5 Nf5 Bd3 d5 Bxf5 exf5 Na3 Qe7 Bf4 Nd7 Qb3 h6 Nf3 c5 Rae1 c4 Qc2 a6 Qc1 b5 Bxh6 Nb6 Bxg7 Kxg7 Ng5 Rh8 e6 Raf8 Nf7 Rh7 Re3 Bc8 Nc2 Bxe6 Ne5 f4 Ref3 g5 Ne3 Rfh8 h3 fxe3 Qxe3 Nd7 Rg3 Nxe5 dxe5 g4 Rxg4+ Bxg4 Qg5+ Qxg5 hxg4 Qe3+ 0-1,Bird Opening,Time forfeit
1913,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 h3 b5 a3 Bb7 Bd3 e6 O-O Be7 Kh1 O-O f4 Nbd7 f5 e5 Nb3 Rc8 Be3 Qc7 Rc1 Rfd8 Qf3 Nb6 Bxb6 Qxb6 Nd5 Nxd5 exd5 Bg5 f6 Bxf6 Qf5 Bxd5 Qxh7+ Kf8 Rxf6 gxf6 Rf1 Ke7 Qh6 Re8 Qxf6+ Kd7 Bf5+ Be6 Qxf7+ 1-0,Sicilian Defense: Najdorf Variation Adams Attack,Normal
1481,e4 e5 Nf3 d5 exd5 Qxd5 Nc3 Qc5 d3 Bg4 Be3 Bxf3 Qxf3 Qb4 Rb1 Nc6 a3 Qa5 Qe4 O-O-O Be2 Nf6 Qf5+ Kb8 O-O Nd4 b4 Nxe2+ Kh1 Qxa3 Nxe2 Rd5 c4 Rxd3 Qxe5 Bxb4 Bf4 Bd6 Qe4 Nxe4 Bxd6 Qxd6 f3 Nf2+ Rxf2 Rd1+ Rxd1 Qxd1+ Ng1 Re8 h3 Re1 Kh2 Rxg1 g4 Rh1+ Kg2 Qg1# 0-1,Elephant Gambit,Normal
1376,e4 h6 d4 e6 Nf3 c6 Be2 d6 O-O b5 c4 bxc4 Bxc4 d5 exd5 cxd5 Bb3 Bd7 Ne5 Bd6 Nxd7 Nxd7 Ba4 Nf6 Nc3 O-O Re1 Bb4 a3 Bxc3 bxc3 Nb6 Bc2 Nc4 Qf3 Rb8 Qg3 Nh5 Qg4 g6 Bxh6 Re8 Bxg6 Nf6 Bxf7+ Kxf7 Qg7# 1-0,Carr Defense,Normal
1685,d4 d5 c4 e6 e3 Bb4+ Nc3 Nf6 Nf3 Ne4 Bd3 Bxc3+ bxc3 Nxc3 Qc2 Ne4 Bxe4 dxe4 Qxe4 c6 O-O Nd7 Ba3 Nf6 Qc2 Qa5 Qb3 Ne4 Rfc1 Rb8 Bb4 Qc7 a4 b6 Ne5 a5 Ba3 f6 Nd3 c5 f3 Nd2 Qc2 Nxf3+ gxf3 cxd4 exd4 Kf7 Qd2 Bb7 Qf4 Qxf4 Nxf4 g5 Nd3 h5 f4 Be4 Nf2 Bf5 fxg5 fxg5 Rf1 Kg6 0-1,Queen's Gambit Declined,Time forfeit
1213,e4 d6 Bc4 b6 Qf3 Be6 e5 Bxc4 Qxa8 dxe5 d3 Bd5 Nc3 Bxa8 a4 Nc6 a5 Nd4 Kd2 e6 Nf3 Bxf3 gxf3 Qg5+ Ke1 Nxf3+ Kf1 1-0,Pirc Defense #4,Time forfeit
1335,e4 a6 d4 c5 Be3 cxd4 Bxd4 Nc6 Be2 e5 Be3 Nf6 Bd3 Nb4 Bg5 Be7 Bxf6 Bxf6 c3 Nxd3+ Qxd3 d6 Qd5 Qb6 b4 Be6 Qd3 O-O Ne2 Rfc8 O-O Rc4 Nd2 Rc6 a4 Rac8 Rac1 h6 a5 Qc7 Ng3 Bg5 Nh5 Bxd2 Qxd2 Bg4 Ng3 Rxc3 Rxc3 Qxc3 Qxc3 Rxc3 Nf5 Bxf5 exf5 Rb3 Rd1 Rxb4 g4 Rb5 Rxd6 Rxa5 Rd8+ Kh7 Rf8 f6 h4 b5 g5 hxg5 hxg5 fxg5 Re8 b4 Rb8 Rb5 Ra8 a5 Kg2 b3 f6 gxf6 Ra7+ Kg6 0-1,St. George Defense,Normal
1665,e4 c5 Nf3 e6 d3 d6 c3 Be7 Be2 Nf6 O-O h6 Be3 Nc6 Qc1 a6 a3 b5 b3 Rb8 b4 Ne5 Nxe5 dxe5 c4 bxc4 Qxc4 cxb4 axb4 Rxb4 Qc1 O-O Bxh6 gxh6 Qxh6 Nh7 f4 exf4 Nc3 Qd4+ Kh1 Qxc3 Rac1 Qg7 Qxf4 a5 Rf3 Qb2 Rcf1 Qxe2 Qg4+ Kh8 h4 e5 Qh5 Rb2 Qxe5+ f6 Qg3 Rg8 Qf2 Qxf2 R1xf2 Rxf2 Rxf2 a4 Kg1 a3 Kf1 Be6 d4 Bc4+ Ke1 a2 0-1,Sicilian Defense: French Variation,Time forfeit
1703,e4 e5 Nf3 Nc6 Bc4 Bc5 Nc3 Nge7 d3 h6 h3 d6 a3 a5 Be3 Bd4 Bxd4 exd4 Nd5 Be6 Qe2 O-O g4 Ng6 g5 hxg5 Nxg5 Qxg5 Nxc7 Bxc4 dxc4 Rac8 Nd5 Nce5 Nb6 Rc6 Nd5 Nh4 f4 Qg3+ Kd2 Nxc4+ Kc1 Ne3 Ne7+ Kh7 Nxc6 Qxf4 Nxd4 Nf1+ Kb1 Ng3 Qg4 Qxg4 hxg4 Nxh1 Ka2 Nf2 Rf1 Nxg4 Rh1 g5 Rg1 Ne5 Rxg5 Kh6 Rg1 Nhf3 Rh1+ Kg5 Nb5 Rd8 Rd1 Nc4 b3 Ne3 Rd3 Kf4 Kb2 d5 exd5 Rxd5 Rxd5 Nxd5 Nd6 f5 Nxb7 Ke4 Nc5+ Kd4 Nd3 Ne5 Ne1 f4 Ng2 f3 0-1,Giuoco Piano,Normal
1487,e4 e5 Bc4 d6 Nf3 Nc6 c3 Nce7 d4 d5 Bb3 dxe4 Nxe5 f6 Nf7 Ng6 Nxd8 Kxd8 Nd2 Nf4 O-O Nd3 Nxe4 Nxc1 Rxc1 Ne7 Re1 f5 Ng5 1-0,Philidor Defense #3,Normal
1421,e4 c5 Nf3 d6 d4 Bg4 dxc5 Qa5+ Bd2 Qxc5 Nc3 Nc6 Bd3 Nd4 Be2 Nxe2 Qxe2 Rd8 Qb5+ Qc6 Nd4 Qxb5 Ndxb5 Rd7 Nd5 e6 Ndc7+ Kd8 Ba5 b6 Bd2 Rxc7 Nxc7 Kxc7 f3 Bh5 c4 Be7 b4 Nf6 a4 Rc8 O-O Kd7 Rfc1 d5 g4 Bxg4 fxg4 Nxe4 Be3 dxc4 b5 Bc5 Bxc5 Rxc5 Rc2 Rg5 h3 h5 Rxc4 Nd2 Rd4+ Ke7 Rxd2 hxg4 hxg4 Rxg4+ Kf2 Rf4+ Kg3 e5 Re2 Kf6 a5 Rb4 axb6 axb6 Rf2+ Ke6 Raf1 f6 Rc1 Rxb5 Rc7 Rc5 Rxg7 b5 Rb7 Rc3+ Kg2 Rb3 Rd2 b4 Rc2 Rb1 Rc6+ Kf5 Rcb6 Rb2+ Kf1 Rb1+ Ke2 Rb2+ Kd1 b3 Kc1 Rc2+ Kb1 e4 Rxb3 Rh2 R7b6 e3 Rxe3 Rh1+ Kc2 Rh2+ Kd3 1-0,Sicilian Defense,Time forfeit
1462,d4 Nc6 Bf4 e6 Nc3 Qh4 g3 Qg4 Nb5 Bd6 Bxd6 cxd6 Nc7+ Ke7 Nxa8 Nxd4 Nc7 Qe4 Rc1 e5 f3 Qe3 Nd5+ 1-0,Mikenas Defense,Normal
1805,b3 d5 Bb2 Nf6 Nc3 g6 e3 Bg7 d4 O-O f4 b6 Nf3 Bb7 Bd3 c5 O-O cxd4 exd4 Nc6 h3 Nh5 Ne5 Nxd4 Bxg6 hxg6 Qxd4 Rc8 Rad1 e6 Qf2 Ba8 Nb5 a6 Nd4 b5 g4 Nf6 f5 Ne4 Qf4 exf5 gxf5 Qg5+ Qxg5 Nxg5 f6 Bh8 h4 Nh7 Nd7 Rfd8 Nb6 Rb8 Nxa8 Rxa8 Nc6 Rd6 Ne7+ Kf8 Rde1 Bxf6 Nxd5 Bxb2 Nc7 Rad8 Re2 R6d7 Rfe1 Rxc7 Re3 Rcd7 Kg2 Bf6 Kg3 Re7 Kg4 Rxe3 Rxe3 1-0,Nimzo-Larsen Attack: Classical Variation,Time forfeit
1417,e4 e5 Nf3 Nc6 c3 Nf6 Bc4 Be7 Bxf7+ Kxf7 Ng5+ Kf8 Qb3 d5 exd5 Qxd5 c4 Na5 cxd5 Nxb3 axb3 Nxd5 O-O Bxg5 f4 exf4 d3 Ke7 Nc3 Ne3 Bxe3 fxe3 Nd5+ Kd8 Rfe1 Be6 Nxe3 Bxe3+ Rxe3 Re8 Rae1 Kd7 d4 Re7 d5 Rae8 dxe6+ Kc8 Kf2 b6 Kf3 h6 Kf4 a5 Kf5 Rf8+ Kg6 Rg8 Rf1 Kd8 Rf7 Ree8 Rd7+ Kc8 Rxg7 Rxg7+ Kxg7 Re7+ Kf6 Re8 Rd3 Rf8+ Kg7 Re8 Kf7 Rd8 Ke7 Rxd3 Kf7 Re3 e7 Rxe7+ Kxe7 Kb7 Kf6 c5 Kg6 Kc6 Kxh6 b5 g4 c4 bxc4 bxc4 g5 Kc5 g6 Kb4 g7 Kb3 g8=Q Kxb2 Qb8+ Kc3 Kg6 a4 Qa8 a3 Qxa3+ Kd4 Qa4 1-0,Italian Game: Two Knights Defense de Riviere Gambit,Time forfeit
1381,d4 d5 e3 Bf5 Bd3 Be6 f4 1-0,Queen's Pawn Game #2,Normal
1524,e4 e5 d3 Nc6 c3 Nf6 h3 d6 Qf3 Be7 Ne2 Bd7 Ng3 a6 Nd2 b5 Be2 b4 Ndf1 bxc3 bxc3 a5 Ne3 a4 a3 Na5 Nef5 Rg8 Rb1 Nb3 Be3 g6 Nh6 Rh8 O-O Bf8 Bg5 Bxh6 Bxf6 Nd2 Bxd8 Nxf3+ Bxf3 Kxd8 d4 Ke7 dxe5 dxe5 Ne2 Rab8 c4 f6 Nc3 c6 Nxa4 Ra8 Nc5 Rxa3 Rb7 Rd8 Bg4 f5 exf5 Kd6 Ne4+ Ke7 f6+ Ke8 1-0,King's Pawn Game: Leonardis Variation,Normal
1720,e4 c5 Nf3 g6 d4 Bg7 c3 cxd4 cxd4 d6 Nc3 Nc6 Be3 e6 a3 Nge7 Qd2 O-O Bd3 d5 e5 f5 Bh6 Bd7 Bxg7 Kxg7 Qg5 h6 Qd2 g5 Ne2 f4 h4 Nf5 Bxf5 exf5 hxg5 hxg5 O-O-O Rc8 Kb1 Rg8 Nxf4 gxf4 Qxf4 Kf7 Rh7+ Rg7 Rdh1 Ne7 e6+ Bxe6 Ne5+ Kf8 Rxg7 Kxg7 Qh6+ 1-0,Sicilian Defense: Hyperaccelerated Pterodactyl,Normal
1517,b3 e5 Bb2 d6 d3 Nc6 Nd2 Nf6 e3 Be7 Ne2 Bd7 g3 O-O Bg2 a6 O-O b5 f4 Na7 fxe5 dxe5 Bxa8 Qxa8 e4 Bc6 Bxe5 Nd7 Bxc7 Qb7 Bf4 Bc5+ Kh1 Nf6 Nc3 Nh5 Qxh5 Be8 Nd5 f5 Qg4 fxg4 Bh6 Rxf1+ Rxf1 Bg6 Bxg7 Kxg7 b4 Be3 Nxe3 Qd7 0-1,Nimzo-Larsen Attack: Modern Variation #2,Time forfeit
1657,e4 g6 d4 Bg7 Nc3 d6 Bc4 e6 f4 Ne7 Nf3 O-O O-O c6 Be3 b5 Bb3 a5 a4 b4 Ne2 Ba6 Qd2 Nd7 Rf2 Rc8 Ng5 Re8 f5 gxf5 exf5 d5 fxe6 fxe6 Nxe6 Qb6 Nxg7 Kxg7 Bh6+ Kg8 Qg5+ Ng6 Nf4 Nf8 Qf6 Qc7 Nxd5 cxd5 Bxd5+ Ne6 Bxe6+ Rxe6 Qxe6+ Qf7 Rxf7 Rc6 Rg7+ Kh8 Qe8+ Nf8 Qxf8# 1-0,Modern Defense: Standard Defense,Normal
1546,b4 d5 b5 e5 e3 a6 Bb2 Bd6 Nf3 Bg4 Be2 Nd7 a4 axb5 axb5 Rxa1 Bxa1 Ngf6 O-O O-O Nc3 c6 bxc6 bxc6 Na4 Qc7 c3 Bxf3 Bxf3 e4 Be2 Bxh2+ Kh1 Be5 Qb3 Rb8 Qc2 Qd6 Rb1 Ne8 Rxb8 Qh6+ Kg1 Qh2+ Kf1 Qh1# 0-1,Polish Opening,Normal
